,City,Lat,Humidity,Wind_Speed,Temp_Max,Cloudiness,Date,Lng,Country
302,kiunga,-6.12,98.0,1.28,75.2,100.0,1589235892,141.29,PG
303,yuanping,38.72,39.0,4.23,55.72,0.0,1589235892,112.76,CN
304,bur gabo,,,,,,,,
305,nueva loja,0.08,78.0,2.24,80.6,75.0,1589235892,-76.88,EC
306,salalah,17.02,83.0,3.36,84.2,0.0,1589235892,54.09,OM
307,nanortalik,60.14,66.0,19.66,45.88,100.0,1589235893,-45.24,GL
308,teguise,29.06,68.0,12.75,68.0,20.0,1589235893,-13.56,ES
309,mys shmidta,,,,,,,,
310,northam,51.03,62.0,5.99,46.99,0.0,1589235893,-4.22,GB
311,hofn,64.25,85.0,18.63,35.67,97.0,1589235893,-15.21,IS
312,padang,-0.95,70.0,4.36,78.96,100.0,1589235893,100.35,ID
313,trelew,-43.25,39.0,11.61,55.62,0.0,1589235841,-65.31,AR
314,buritis,-15.62,76.0,3.53,68.36,6.0,1589235894,-46.42,BR
315,saint george,37.1,13.0,29.97,90.0,1.0,1589235894,-113.58,US
316,sturgeon falls,46.36,30.0,8.05,42.01,20.0,1589235894,-79.93,CA
317,east london,-33.02,82.0,11.48,65.48,42.0,1589235894,27.91,ZA
318,burns lake,54.23,28.0,5.55,62.51,0.0,1589235894,-125.75,CA
319,glendive,47.11,29.0,8.05,52.0,20.0,1589235833,-104.71,US
320,yerbogachen,61.28,86.0,5.06,35.6,94.0,1589235895,108.01,RU
321,hambantota,6.12,80.0,4.99,80.8,99.0,1589235895,81.12,LK
322,os,,,,,,,,
323,grand-lahou,5.14,83.0,7.7,77.68,100.0,1589235895,-5.02,CI
324,maldonado,-34.67,76.0,5.82,57.0,84.0,1589235895,-54.92,UY
325,lebork,54.54,79.0,5.82,39.99,40.0,1589235896,17.75,PL
326,murdochville,48.96,71.0,7.11,39.51,60.0,1589235896,-65.5,CA
327,tete,-16.16,72.0,3.71,62.6,0.0,1589235896,33.59,MZ
328,nakamura,32.98,69.0,2.44,66.87,59.0,1589235896,132.93,JP
329,chiang khong,20.26,64.0,0.29,70.0,68.0,1589235896,100.4,TH
330,san patricio,19.22,74.0,11.41,82.4,5.0,1589235896,-104.7,MX
331,cape canaveral,28.41,50.0,14.99,79.0,1.0,1589235715,-80.6,US
332,maxixe,-23.86,74.0,3.42,66.42,20.0,1589235897,35.35,MZ
333,lagoa,39.05,79.0,18.45,61.16,100.0,1589235897,-27.98,PT
334,brae,60.4,71.0,16.11,41.0,100.0,1589235897,-1.35,GB
335,ciudad bolivar,8.12,43.0,13.24,92.23,82.0,1589235810,-63.55,VE
336,high level,58.52,22.0,8.05,57.2,20.0,1589235897,-117.14,CA
337,roma,43.21,70.0,14.99,42.8,90.0,1589235898,-75.46,US
338,mount isa,-20.73,35.0,2.24,55.4,0.0,1589235716,139.5,AU
339,goderich,43.75,68.0,11.36,42.01,56.0,1589235898,-81.72,CA
340,bengkulu,-3.8,85.0,4.29,75.9,62.0,1589235898,102.27,ID
341,saint-leu,-21.15,60.0,6.93,68.0,75.0,1589235898,55.28,RE
342,bamora,24.06,26.0,4.94,86.74,10.0,1589235899,78.09,IN
343,xianyang,34.34,70.0,6.71,60.01,0.0,1589235899,108.7,CN
344,knesselare,51.13,66.0,4.0,45.0,0.0,1589235899,3.46,BE
345,zheleznodorozhnyy,55.75,70.0,6.71,59.0,0.0,1589235899,38.0,RU
346,havelock,34.88,19.0,18.34,72.0,1.0,1589235823,-76.9,US
347,north myrtle beach,33.82,23.0,10.29,73.4,1.0,1589235812,-78.68,US
348,sao raimundo das mangabeiras,-7.02,74.0,4.07,78.17,12.0,1589235780,-45.48,BR
349,othaya,-0.57,94.0,1.86,57.0,99.0,1589235900,36.96,KE
350,souillac,-20.52,60.0,6.93,71.6,75.0,1589235900,57.52,MU
351,grimari,,,,,,,,
352,umm lajj,25.02,47.0,8.66,77.94,1.0,1589235900,37.27,SA
353,deputatskiy,69.3,99.0,3.29,27.55,100.0,1589235900,139.9,RU
354,penzance,50.12,69.0,9.17,51.01,72.0,1589235901,-5.54,GB
355,port augusta,-32.5,70.0,8.05,45.0,65.0,1589235901,137.77,AU
356,pangoa,-12.12,82.0,1.52,77.7,63.0,1589235901,-73.0,PE
357,poum,-20.23,69.0,17.45,75.45,50.0,1589235901,164.02,NC
358,izazi,-7.2,72.0,6.93,66.2,0.0,1589235901,35.73,TZ
359,chabahar,25.29,83.0,8.14,83.12,3.0,1589235902,60.64,IR
360,gornopravdinsk,60.05,77.0,3.06,61.48,98.0,1589235723,69.9,RU
361,namatanai,-3.67,82.0,7.49,82.72,99.0,1589235902,152.43,PG
